,neighbourhood,date,id,listing_url,scrape_id,last_scraped,name,summary,space,description,experiences_offered,neighborhood_overview,notes,transit,access,interaction,house_rules,thumbnail_url,medium_url,picture_url,xl_picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,street,neighbourhood_cleansed,neighbourhood_group_cleansed,city,state,zipcode,market,smart_location,country_code,country,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,square_feet,price_x,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,license,jurisdiction_names,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,listing_id,available,price_y
0,Allston-Brighton,2016-09-30,1901,1901,1901,1901,1901,1871,1522,1901,1901,1259,1075,1323,1266,1336,1350,1459,1459,1901,1459,1901,1901,1901,1901,1901,1280,1778,1778,1778,1901,1901,1901,1901,1901,1901,1901,1901,1901,1901,1901,0,1901,1901,1901,1830,1901,1901,1901,1901,1901,1901,1898,1901,1901,1901,1901,1901,1901,1901,28,1901,585,555,661,1456,1901,1901,1901,1901,1901,0,1901,1901,1901,1901,1901,1901,1373,1373,1251,1251,1251,1251,1251,1251,1251,1901,0,0,1901,1901,1901,1901,1901,1373,1901,1901,1901
1,Allston-Brighton,2016-10-31,3558,3558,3558,3558,3558,3513,2850,3558,3558,2452,2103,2585,2611,2612,2647,2855,2855,3558,2855,3558,3558,3558,3558,3558,2348,3403,3403,3403,3558,3558,3558,3558,3558,3558,3558,3558,3558,3558,3558,0,3558,3558,3558,3467,3558,3558,3558,3558,3558,3558,3552,3558,3558,3558,3558,3558,3558,3558,35,3558,1300,1178,1319,2644,3558,3558,3558,3558,3558,0,3558,3558,3558,3558,3558,3558,2713,2713,2548,2548,2548,2548,2548,2548,2548,3558,0,0,3558,3558,3558,3558,3558,2713,3558,3558,3558
2,Allston-Brighton,2016-11-30,4575,4575,4575,4575,4575,4499,3674,4575,4575,3082,2604,3245,3377,3338,3486,3838,3838,4575,3838,4575,4575,4575,4575,4575,3021,4399,4399,4399,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,0,4575,4575,4575,4485,4575,4575,4575,4575,4575,4575,4545,4575,4575,4575,4575,4575,4575,4575,76,4575,1784,1653,1587,3399,4575,4575,4575,4575,4575,0,4575,4575,4575,4575,4575,4575,3689,3689,3531,3528,3531,3531,3531,3531,3531,4575,0,0,4575,4575,4575,4575,4575,3689,4575,4575,4575
3,Allston-Brighton,2016-12-31,4393,4393,4393,4393,4393,4312,3608,4393,4393,2915,2628,3064,3306,3151,3427,3661,3661,4393,3661,4393,4393,4393,4393,4393,2903,4182,4182,4182,4393,4393,4393,4393,4393,4393,4393,4393,4393,4393,4393,0,4393,4393,4393,4300,4393,4393,4393,4393,4393,4393,4389,4393,4393,4393,4393,4393,4393,4393,93,4393,1901,1804,1714,3416,4393,4393,4393,4393,4393,0,4393,4393,4393,4393,4393,4393,3620,3620,3492,3488,3492,3492,3492,3492,3492,4393,0,0,4393,4393,4393,4393,4393,3620,4393,4393,4393
4,Allston-Brighton,2017-01-31,4949,4949,4949,4949,4949,4794,4084,4949,4949,3233,2936,3503,3726,3592,3830,4099,4099,4949,4099,4949,4949,4949,4949,4949,3321,4701,4701,4701,4949,4949,4949,4949,4949,4949,4949,4949,4949,4949,4949,0,4949,4949,4949,4856,4949,4949,4949,4949,4949,4949,4949,4949,4949,4949,4949,4949,4949,4949,124,4949,2177,2112,1975,3646,4949,4949,4949,4949,4949,0,4949,4949,4949,4949,4949,4949,4229,4229,4105,4105,4105,4105,4105,4105,4105,4949,0,0,4949,4949,4949,4949,4949,4229,4949,4949,4949
5,Allston-Brighton,2017-02-28,4478,4478,4478,4478,4478,4338,3659,4478,4478,2883,2604,3163,3407,3215,3419,3722,3722,4478,3722,4478,4478,4478,4478,4478,2980,4254,4254,4254,4478,4478,4478,4478,4478,4478,4478,4478,4478,4478,4478,0,4478,4478,4478,4394,4478,4478,4478,4478,4478,4478,4478,4478,4478,4478,4478,4478,4478,4478,112,4478,1979,1944,1739,3295,4478,4478,4478,4478,4478,0,4478,4478,4478,4478,4478,4478,3838,3838,3726,3726,3726,3726,3726,3726,3726,4478,0,0,4478,4478,4478,4478,4478,3838,4478,4478,4478
6,Allston-Brighton,2017-03-31,4436,4436,4436,4436,4436,4281,3587,4436,4436,2827,2425,3045,3308,3107,3362,3626,3626,4436,3626,4436,4436,4436,4436,4436,2924,4188,4188,4188,4436,4436,4436,4436,4436,4436,4436,4436,4436,4436,4436,0,4436,4436,4436,4343,4436,4436,4436,4436,4436,4436,4436,4436,4436,4436,4436,4436,4436,4436,124,4436,1904,1873,1879,3210,4436,4436,4436,4436,4436,0,4436,4436,4436,4436,4436,4436,3750,3750,3626,3626,3626,3626,3626,3626,3626,4436,0,0,4436,4436,4436,4436,4436,3750,4436,4436,4436
7,Allston-Brighton,2017-04-30,4162,4162,4162,4162,4162,4012,3352,4162,4162,2641,2248,2851,3079,2911,3142,3381,3381,4162,3381,4162,4162,4162,4162,4162,2740,3922,3922,3922,4162,4162,4162,4162,4162,4162,4162,4162,4162,4162,4162,0,4162,4162,4162,4072,4162,4162,4162,4162,4162,4162,4162,4162,4162,4162,4162,4162,4162,4162,120,4162,1789,1757,1770,2991,4162,4162,4162,4162,4162,0,4162,4162,4162,4162,4162,4162,3500,3500,3380,3380,3380,3380,3380,3380,3380,4162,0,0,4162,4162,4162,4162,4162,3500,4162,4162,4162
8,Allston-Brighton,2017-05-31,4301,4301,4301,4301,4301,4146,3480,4301,4301,2745,2352,2962,3197,3018,3265,3442,3442,4301,3442,4301,4301,4301,4301,4301,2882,4053,4053,4053,4301,4301,4301,4301,4301,4301,4301,4301,4301,4301,4301,0,4301,4301,4301,4208,4301,4301,4301,4301,4301,4301,4301,4301,4301,4301,4301,4301,4301,4301,118,4301,1821,1800,1825,3068,4301,4301,4301,4301,4301,0,4301,4301,4301,4301,4301,4301,3622,3622,3498,3498,3498,3498,3498,3498,3498,4301,0,0,4301,4301,4301,4301,4301,3622,4301,4301,4301
9,Allston-Brighton,2017-06-30,4257,4257,4257,4257,4257,4107,3432,4257,4257,2712,2337,2922,3162,2982,3237,3432,3432,4257,3432,4257,4257,4257,4257,4257,2847,4032,4032,4032,4257,4257,4257,4257,4257,4257,4257,4257,4257,4257,4257,0,4257,4257,4257,4167,4257,4257,4257,4257,4257,4257,4257,4257,4257,4257,4257,4257,4257,4257,120,4257,1814,1784,1843,3057,4257,4257,4257,4257,4257,0,4257,4257,4257,4257,4257,4257,3597,3597,3477,3477,3477,3477,3477,3477,3477,4257,0,0,4257,4257,4257,4257,4257,3597,4257,4257,4257
