,neighbourhood,date,id,listing_url,scrape_id,last_scraped,name,summary,space,description,experiences_offered,neighborhood_overview,notes,transit,access,interaction,house_rules,thumbnail_url,medium_url,picture_url,xl_picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,street,neighbourhood_cleansed,neighbourhood_group_cleansed,city,state,zipcode,market,smart_location,country_code,country,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,square_feet,price_x,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,license,jurisdiction_names,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,listing_id,available,price_y
0,Allston-Brighton,2016-09-30,7199,7199,7199,7199,7199,7104,4853,7199,7199,4041,2825,4302,4234,4214,4575,6516,6516,7199,6516,7199,7199,7199,7199,7174,3820,5347,5347,5347,7199,7199,7199,7199,7199,7199,7199,7199,7199,7199,7199,0,7199,7199,7174,7170,7199,7199,7199,7199,7199,7199,7177,7199,7199,7199,7199,7199,7199,7199,72,7199,2465,2170,2514,4619,7199,7199,7199,7199,7199,0,7199,7199,7199,7199,7199,7199,5577,5577,5449,5424,5449,5449,5449,5424,5449,7199,0,0,7199,7199,7199,7199,7199,5577,7199,7199,0
1,Allston-Brighton,2016-10-31,7726,7726,7726,7726,7726,7616,5055,7726,7726,4120,2733,4390,4209,4270,4700,7034,7034,7726,7034,7726,7726,7726,7726,7695,3976,5432,5432,5432,7726,7726,7726,7726,7726,7726,7726,7726,7726,7726,7726,0,7726,7726,7695,7693,7726,7726,7726,7726,7726,7726,7701,7726,7726,7726,7726,7726,7726,7726,89,7726,2482,2201,2618,4889,7726,7726,7726,7726,7726,0,7726,7726,7726,7726,7726,7726,5905,5905,5760,5729,5760,5760,5760,5729,5760,7726,0,0,7726,7726,7726,7726,7726,5905,7726,7726,0
2,Allston-Brighton,2016-11-30,6345,6345,6345,6345,6345,6271,3976,6345,6345,3278,2076,3505,3223,3322,3624,5732,5732,6345,5732,6345,6345,6345,6345,6315,3099,4151,4151,4151,6345,6345,6345,6345,6345,6345,6345,6345,6345,6345,6345,0,6345,6345,6315,6315,6345,6345,6345,6345,6345,6345,6345,6345,6345,6345,6345,6345,6345,6345,44,6345,1876,1617,2223,3891,6345,6345,6345,6345,6345,0,6345,6345,6345,6345,6345,6345,4651,4651,4509,4482,4509,4509,4509,4479,4509,6345,0,0,6345,6345,6345,6345,6345,4651,6345,6345,0
3,Allston-Brighton,2016-12-31,6891,6891,6891,6891,6891,6817,4297,6891,6891,3657,2208,3911,3514,3731,3920,6228,6228,6891,6228,6891,6891,6891,6891,6860,3421,4653,4653,4653,6891,6891,6891,6891,6891,6891,6891,6891,6891,6891,6891,0,6891,6891,6860,6860,6891,6891,6891,6891,6891,6891,6864,6891,6891,6891,6891,6891,6891,6891,31,6891,1881,1575,2223,4117,6891,6891,6891,6891,6891,0,6891,6891,6891,6891,6891,6891,4998,4998,4816,4789,4816,4816,4816,4785,4816,6891,0,0,6891,6891,6891,6891,6891,4998,6891,6891,0
4,Allston-Brighton,2017-01-31,6335,6335,6335,6335,6335,6335,3821,6335,6335,3339,1900,3472,3094,3290,3517,5790,5790,6335,5790,6335,6335,6335,6335,6304,3003,4134,4134,4134,6335,6335,6335,6335,6335,6335,6335,6335,6335,6335,6335,0,6335,6335,6304,6304,6335,6335,6335,6335,6335,6335,6304,6335,6335,6335,6335,6335,6335,6335,0,6335,1605,1267,1962,3887,6335,6335,6335,6335,6335,0,6335,6335,6335,6335,6335,6335,4389,4389,4203,4172,4203,4203,4203,4172,4203,6335,0,0,6335,6335,6335,6335,6335,4389,6335,6335,0
5,Allston-Brighton,2017-02-28,5714,5714,5714,5714,5714,5714,3481,5714,5714,3053,1764,3137,2753,3001,3217,5210,5210,5714,5210,5714,5714,5714,5714,5686,2732,3726,3726,3726,5714,5714,5714,5714,5714,5714,5714,5714,5714,5714,5714,0,5714,5714,5686,5686,5714,5714,5714,5714,5714,5714,5686,5714,5714,5714,5714,5714,5714,5714,0,5714,1437,1108,1817,3509,5714,5714,5714,5714,5714,0,5714,5714,5714,5714,5714,5714,3946,3946,3778,3750,3778,3778,3778,3750,3778,5714,0,0,5714,5714,5714,5714,5714,3946,5714,5714,0
6,Allston-Brighton,2017-03-31,6848,6848,6848,6848,6848,6848,4318,6848,6848,3745,2411,3930,3512,3775,3985,6263,6263,6848,6263,6848,6848,6848,6848,6817,3400,4647,4647,4647,6848,6848,6848,6848,6848,6848,6848,6848,6848,6848,6848,0,6848,6848,6817,6817,6848,6848,6848,6848,6848,6848,6817,6848,6848,6848,6848,6848,6848,6848,0,6848,1878,1506,2058,4323,6848,6848,6848,6848,6848,0,6848,6848,6848,6848,6848,6848,4868,4868,4682,4651,4682,4682,4682,4651,4682,6848,0,0,6848,6848,6848,6848,6848,4868,6848,6848,0
7,Allston-Brighton,2017-04-30,6758,6758,6758,6758,6758,6758,4298,6758,6758,3719,2432,3899,3521,3749,3968,6189,6189,6758,6189,6758,6758,6758,6758,6728,3380,4628,4628,4628,6758,6758,6758,6758,6758,6758,6758,6758,6758,6758,6758,0,6758,6758,6728,6728,6758,6758,6758,6758,6758,6758,6728,6758,6758,6758,6758,6758,6758,6758,0,6758,1871,1513,2040,4299,6758,6758,6758,6758,6758,0,6758,6758,6758,6758,6758,6758,4840,4840,4660,4630,4660,4660,4660,4630,4660,6758,0,0,6758,6758,6758,6758,6758,4840,6758,6758,0
8,Allston-Brighton,2017-05-31,6983,6983,6983,6983,6983,6983,4425,6983,6983,3827,2484,4013,3623,3864,4082,6447,6447,6983,6447,6983,6983,6983,6983,6952,3442,4782,4782,4782,6983,6983,6983,6983,6983,6983,6983,6983,6983,6983,6983,0,6983,6983,6952,6952,6983,6983,6983,6983,6983,6983,6952,6983,6983,6983,6983,6983,6983,6983,6,6983,1961,1579,2112,4465,6983,6983,6983,6983,6983,0,6983,6983,6983,6983,6983,6983,4996,4996,4810,4779,4810,4810,4810,4779,4810,6983,0,0,6983,6983,6983,6983,6983,4996,6983,6983,0
9,Allston-Brighton,2017-06-30,6663,6663,6663,6663,6663,6663,4218,6663,6663,3648,2343,3828,3438,3678,3873,6138,6138,6663,6138,6663,6663,6663,6663,6633,3273,4518,4518,4518,6663,6663,6663,6663,6663,6663,6663,6663,6663,6663,6663,0,6663,6663,6633,6633,6663,6663,6663,6663,6663,6663,6633,6663,6663,6663,6663,6663,6663,6663,0,6663,1846,1486,1967,4233,6663,6663,6663,6663,6663,0,6663,6663,6663,6663,6663,6663,4743,4743,4563,4533,4563,4563,4563,4533,4563,6663,0,0,6663,6663,6663,6663,6663,4743,6663,6663,0
